# JPL Small-Body Database Search Engine
# Results:  30 matching objects
#
# Constraints:  	asteroids and orbital class (IEO or IMB or ATE or MBA or PAA or APO or 
#		OMB or HYA or AMO or TJN or AST or MCA or CEN) and diameter >= 200 (km) 
#
# Description
# -------------
# object fullname| prim. desig.| IAU name| prefix| NEO (Y/N)| PHA (Y/N)| H (absolute magnitude)| G (magnitude slope parameter (default is 0.15))|
# M1  (comet total magnitude parameter)| M2 (comet nuclear magnitude parameter)| K1 (comet total magnitude slope parameter)|
# K2 (comet nuclear magnitude slope parameter)| PC (comet nuclear magnitude law - phase coefficient)| diameter (km)|	
# extent (object bi/tri-axial ellipsoid dimensions in km)| albedo (geometric albedo)| rot_per (rotation period in hours)|
# GM (mass expressed as product mass and grav. const. G in km^3/s^2)| B-V (color index B-V in mag)| U-B (color index U-B i mag)|
# I-R (color index I-R in mag)| spec. type (spectral taxonomic type in SMASSII)| spec. type  (spectral taxonomic type in Tholen)|
# H-sigma (1-sigma uncertainty in abs. mag. param. H in mag)| diameter-sigma (1-sigma uncertainty in object diameter in km)| 
# orbit ID| epoch (epoch of osculation in JED)| epoch (epoch of osculation in MJD)| epoch (epoch of osculation in ET)|
# equinox (equinox of reference frame)| e (eccentricity)| a (semi-major axis in AU)| q (perihelion distance in AU)|
# i (inclinaison in deg)| node (longitude of the ascending node in deg)| peri (argument of perihelion in deg)|
# M (mean anomaly in deg)| Q (aphelion distance in AU)| n (Mean motion in deg/day)|tp (time of perihelion passage in JED)|
# tp (time of perihelion passage in ET)| period (orbital period in days)| period (orbital period in years)|
# Earth MOID (Earth Minimum Orbit Intersection Distance in AU)| Earth MOID (Earth Minimum Orbit Intersection Distance in light days)|
# Jupiter MOID (Jupiter Minimum Orbit Intersection Distance in Au)| T-Jupiter (Jupiter Tisserand Invariant)|
# e-sigma (eccentricity (1-sigma uncertainty))| a-sigma (semi-major axis (1-sigma uncertainty) in AU)|
# q-sigma (perihelion distance (1-sigma uncertainty) in AU)| i-sigma (inclination (1-sigma uncertainty) in deg)|
# node-sigma (long. of the asc. node (1-sigma uncertainty) in deg)| peri-sigma (argument of perihelion (1-sigma uncertainty) in deg)|
# M-sigma (mean anomaly (1-sigma uncertainty) in deg)|Q (1-sigma) (aphelion distance (1-sigma uncertainty) in AU)|
# n (1-sigma) (mean motion (1-sigma uncertainty in deg/day)| tp-sigma (time of peri. passage (1-sigma uncertainty) in days)|
# period-sigma (orbital period (1-sigma uncertainty) in days)| orbit class (orbit classification)|
# producer (name of person (or institution) who computed the orbit|
# data-arc span (number of days spanned by the data-arc in days)|
# date of first obs. (date of first observation used in the orbit fit in UT)|
# date of last obs. (date of last observation used in the orbit fit in UT)|
# obs. used (total) (number of observations (all types) used in fit)|
# obs. used (del.) (number of delay-radar observations used in fit)|
# obs. used (dop.) (number of Doppler-radar observations used in fit)|
# condition code (orbit condition code (MPC 'U' parameter)|
# norm. RMS of fit (normalized RMS of orbit fit in arcsec)| two-body model (2-body dynamics used flag T/F)|
# A1 (non-grav. radial parameter)| A2 (non-grav. transverse parameter)| A3 (non-grav. normal parameter)|
# DT (non-grav. peri.-maximum offset in days)
# 	  
Spacex Starman|Starman|Starman||Y|N||||||||90|0.0025 x 0.0018 x 0.0006|0|0.5|0|0|0||C|G||0.2|JPL 34|2458159.489594907|||J2000|2.647486804652587E-01|1.341118099146852|9.860588520496463E-01|1.092793455129435|3.582144541378262E+02|1.363703978776156E+02|3.678785039794062|1.696177346244057|6.36050715251113E-01|2458153.692627305165|5.672819461319965E+02|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|MBA|||||||0|0|0|||||
1 Ceres|1|Ceres||N|N|3.34|0.12||||||939.4|964.4 x 964.2 x 891.8|0.090|9.074170|62.6284|.713|.426||C|G||0.2|JPL 34|2458000.5|58000|2017-Sep-04.0|J2000|.07560729117115973|2.767409329208225|2.558173006264995|10.59321706277403|80.3088826123586|73.02374264688446|309.4940551395338|2.976645652151455|.2140888123385267|2458236.411182414352|2018-Apr-27.9111824|1681.545131049408|4.60381966064177|1.59537|620.8701429|2.10249|3.310|1.1635E-11|2.6041E-11|5.6232E-11|1.9257E-9|1.1728E-8|1.1428E-8|2.1194E-9|2.801E-11|3.0218E-12|1.2939E-8|2.3735E-8|MBA|Davide Farnocchia|24437|1950-04-09|2017-03-05|5993|405|0|0|.36954||||| 
2 Pallas|2|Pallas||N|N|4.13|0.11||||||545|582x556x500|0.101|7.8132|14.3|.635|.284||B|B||18|JPL 32|2458000.5|58000|2017-Sep-04.0|J2000|.2305974109006172|2.773085152812061|2.133618896366657|34.83791913233102|173.0871774252975|309.9915581445374|291.6513629218593|3.412551409257464|.213431868021857|2458320.736325116834|2018-Jul-21.2363251|1686.720935053304|4.61799023970788|1.23438|480.3836646|1.85645|3.042|3.4084E-8|4.3299E-9|9.4193E-8|3.7496E-6|6.4972E-6|9.5567E-6|9.1432E-6|5.3284E-9|4.9988E-10|4.3206E-5|3.9505E-6|MBA|Otto Matic|71442|1821-05-09|2016-12-14|8350|||0|.35941||||| 
4 Vesta|4|Vesta||N|N|3.20|0.32||||||525.4|572.6 x 557.2 x 446.4|0.4228|5.34212766|17.8|.782|.492||V|V||0.2|JPL 34|2458000.5|58000|2017-Sep-04.0|J2000|.08915261042902074|2.361777559799509|2.1512189250907|7.140019358926029|103.8358792056089|150.9430865320649|292.7102640051298|2.572336194508318|.2715473607287919|2458248.301104802767|2018-May-09.8011048|1325.735588200211|3.62966622368299|1.13952|443.4669984|2.46749|3.535|2.3482E-10|1.535E-9|1.9508E-9|2.2066E-7|3.9441E-7|1.849E-7|1.0729E-6|1.6718E-9|2.6473E-10|4.1925E-6|1.2925E-6|MBA|Davide Farnocchia|24288|1950-09-23|2017-03-23|9325|2977|0|0|.39592||||| 
10 Hygiea|10|Hygiea||N|N|5.43|||||||407.12||0.0717|27.630|7.|.696|.351||C|C||6.8|JPL 86|2458000.5|58000|2017-Sep-04.0|J2000|.1126909549141323|3.139878255737369|2.786042376784205|3.832012281026087|283.2182652049031|312.0385130097884|46.19229135865785|3.493714134690534|.1771474315942278|2457739.743798552691|2016-Dec-17.2437986|2032.20558582307|5.56387566275995|1.77722|691.6407074|1.53499|3.197|1.6436E-8|7.3297E-9|5.1444E-8|2.1975E-6|2.8896E-5|3.0591E-5|1.1195E-5|8.1557E-9|6.2029E-10|6.2778E-5|7.1159E-6|MBA|Otto Matic|61079|1849-05-26|2016-08-17|3205|||0|.53188||||| 
704 Interamnia (1910 KU)|704|Interamnia||N|N|5.94|-0.02||||||306.313||0.078|8.727|5.|.645|.259||B|F||1.031|JPL 128|2458000.5|58000|2017-Sep-04.0|J2000|.154487207315495|3.058552587554394|2.586045339875535|17.30634759503431|280.2920015867447|95.12040421435835|349.9234318817088|3.531059835233253|.1842596092819417|2458055.186798466357|2017-Oct-28.6867985|1953.765132808635|5.34911740673138|1.65872|645.5240624|2.14118|3.148|2.8265E-8|6.7076E-9|8.7574E-8|3.0359E-6|1.0539E-5|1.452E-5|1.1226E-5|7.7438E-9|6.0614E-10|6.1002E-5|6.4271E-6|MBA|Otto Matic|38955|1910-10-09|2017-06-04|3558|||0|.4142||||| 
52 Europa|52|Europa||N|N|6.31|0.18||||||303.918||0.057|5.6304||.679|.338||C|CF||3.501|JPL 91|2458000.5|58000|2017-Sep-04.0|J2000|.1098865727687213|3.094493047814877|2.754449812333866|7.476795741410037|128.6198195220414|343.8118409850665|128.2015820101077|3.434536283295889|.1810588705497411|2457292.434266347432|2015-Sep-26.9342663|1988.303577211919|5.44367851392723|1.77315|690.0567855|1.66371|3.201|2.8557E-8|7.9802E-9|8.7865E-8|2.8907E-6|2.2912E-5|2.6545E-5|1.2934E-5|8.8571E-9|7.0038E-10|7.0936E-5|7.6912E-6|MBA|Otto Matic|57278|1860-07-09|2017-05-05|2737|||0|.53473||||| 
10199 Chariklo (1997 CU26)|10199|Chariklo||N|N|6.6|||||||302||0.045|7.004|||||D|||30|JPL 27|2458000.5|58000|2017-Sep-04.0|J2000|.1720906277732013|15.82174036879818|13.0989671362671|23.38236240058702|300.416187483083|242.8957706346094|77.67002303724144|18.54451360132926|.01566111553897319|2453041.081697775162|2004-Feb-05.5816978|22986.86827921858|62.9346154119605|12.1723|4737.093991|8.18501|3.482|2.2795E-6|4.6977E-5|3.8061E-6|1.0803E-5|3.5598E-5|.00017157|.00042449|5.5062E-5|6.9751E-8|.007556|.10238|CEN|Otto Matic|9684|1988-11-05|2015-05-12|577|||1|.48857||||| 
511 Davida (1903 LU)|511|Davida||N|N|6.22|0.16||||||270.327||0.076|5.1297||.717|.363||C|C||1.045|JPL 78|2458000.5|58000|2017-Sep-04.0|J2000|.1881385508469541|3.163172304554029|2.568057651096014|15.94003794016668|107.6070611236462|337.5926732230632|228.7667302595365|3.758286958012044|.1751942304206006|2458749.573011282409|2019-Sep-23.0730113|2054.862190014612|5.6259060643795|1.59245|619.7337665|1.48115|3.118|2.9143E-8|7.9781E-9|9.3754E-8|3.3875E-6|1.0624E-5|1.3021E-5|8.6571E-6|9.4791E-9|6.6281E-10|5.0912E-5|7.7741E-6|MBA|Otto Matic|41561|1903-06-02|2017-03-16|2484|||0|.50042||||| 
31 Euphrosyne|31|Euphrosyne||N|N|6.74|||||||267.080||0.053|5.530||.687|.317||Cb|C||2.611|JPL 86|2458000.5|58000|2017-Sep-04.0|J2000|.2213017871751636|3.156082180781117|2.457635553702568|26.30537758980726|31.11867728583171|61.42538475053448|341.6790441297118|3.854528807859666|.1757849213783251|2458104.723705461390|2017-Dec-17.2237055|2047.957226235613|5.60700130386205|1.56958|610.8334486|1.95535|3.010|3.2015E-8|8.6313E-9|1.0178E-7|4.8714E-6|8.237E-6|1.41E-5|1.1919E-5|1.0541E-8|7.2111E-10|6.8094E-5|8.4012E-6|MBA|Otto Matic|57068|1860-10-25|2017-01-23|1756|||0|.4923||||| 
