# Results:  	200 matching objects
# Constraints:  	asteroids and PHAs and orbital class (IEO or IMB or TNO or ATE or MBA or 
#			APO or OMB or AMO or TJN or AST or MCA or CEN) and 
#			diameter >= 0.2 (km) 
# SPK-ID|object fullname |prim. desig.| IAU name|Diameter
#
2053319|53319 (1999 JM8)|53319||7.
2004179|4179 Toutatis (1989 AC)|4179|Toutatis|5.4
2003200|3200 Phaethon (1983 TB)|3200|Phaethon|5.10
2089830|89830 (2002 CE)|89830||5.067
2003122|3122 Florence (1981 ET3)|3122|Florence|4.9
2004015|4015 Wilson-Harrington (1979 VA)|4015|Wilson-Harrington|4
2085713|85713 (1998 SS49)|85713||3.484
2001981|1981 Midas (1973 EA)|1981|Midas|3.4
2159857|159857 (2004 LJ1)|159857||3.070
2111253|111253 (2001 XU10)|111253||3.006
2004183|4183 Cuno (1959 LM)|4183|Cuno|2.945
2242450|242450 (2004 QY2)|242450||2.914
2001620|1620 Geographos (1951 RA)|1620|Geographos|2.56
2090075|90075 (2002 VU94)|90075||2.233
2086039|86039 (1999 NC43)|86039||2.22
2451124|451124 (2009 KC3)|451124||2.188
2143624|143624 (2003 HM16)|143624||2.137
2012923|12923 Zephyr (1999 GK4)|12923|Zephyr|2.060
2029075|29075 (1950 DA)|29075||2.000
2242643|242643 (2005 NZ6)|242643||1.989
2363505|363505 (2003 UC20)|363505||1.900
2161989|161989 Cacus (1978 CA)|161989|Cacus|1.9
3074755|(2001 HA4)|2001 HA4||1.851
2004486|4486 Mithra (1987 SB)|4486|Mithra|1.849
2007335|7335 (1989 JA)|7335||1.8
2002201|2201 Oljato (1947 XC)|2201|Oljato|1.80
3520203|(2010 JL33)|2010 JL33||1.778
2164121|164121 (2003 YT1)|164121||1.717
2163243|163243 (2002 FB3)|163243||1.682
2012538|12538 (1998 OH)|12538||1.663
2002102|2102 Tantalus (1975 YA)|2102|Tantalus|1.649
3645264|(2013 PX6)|2013 PX6||1.647
2007822|7822 (1991 CS)|7822||1.602
2008566|8566 (1996 EN)|8566||1.568
2039572|39572 (1993 DQ1)|39572||1.554
